2020-01-18 21:37:22,403 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM 0.0.0.0.0.0.1

2020-01-20 01:04:44,357 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM 0.0.0.0.0.0.1

2020-01-20 01:19:54,228 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM 0.0.0.0.0.0.1

2020-01-20 01:19:59,915 - LOGLEVEL:DEBUG  MESSAGE:Socket sent EHLO message. (domain: localhost)

2020-01-20 01:20:05,269 - LOGLEVEL:DEBUG  MESSAGE:Socket received: (EHLO) 250 ENHANCEDSTATUSCODES.

2020-01-20 01:35:04,066 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM 0.0.0.0.0.0.1

2020-01-20 01:42:09,508 - LOGLEVEL:DEBUG  MESSAGE:******************************NEW_SMTP_SESSION_STARTED******************************

2020-01-20 01:42:09,509 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM <re.Match object; span=(0, 29), match='220 mxs.mail.ru ESMTP ready \r'>

2020-01-20 01:42:09,509 - LOGLEVEL:DEBUG  MESSAGE:220 mxs.mail.ru ESMTP ready 


2020-01-20 01:42:09,509 - LOGLEVEL:DEBUG  MESSAGE:Socket sent EHLO message. (domain: localhost)

2020-01-20 01:56:14,187 - LOGLEVEL:DEBUG  MESSAGE:******************************NEW_SMTP_SESSION_STARTED******************************

2020-01-20 01:56:14,188 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM <re.Match object; span=(0, 29), match='220 mxs.mail.ru ESMTP ready \r'>

2020-01-20 01:56:14,188 - LOGLEVEL:DEBUG  MESSAGE:220 mxs.mail.ru ESMTP ready 


2020-01-20 01:56:14,188 - LOGLEVEL:DEBUG  MESSAGE:Socket sent EHLO message. (domain: localhost)

2020-01-20 01:56:14,203 - LOGLEVEL:DEBUG  MESSAGE:Socket received: (EHLO) 250 ENHANCEDSTATUSCODES.

2020-01-20 01:58:19,787 - LOGLEVEL:DEBUG  MESSAGE:******************************NEW_SMTP_SESSION_STARTED******************************

2020-01-20 01:58:19,788 - LOGLEVEL:DEBUG  MESSAGE:220 SMTP GREETING FROM <re.Match object; span=(0, 29), match='220 mxs.mail.ru ESMTP ready \r'>

2020-01-20 01:58:19,789 - LOGLEVEL:DEBUG  MESSAGE:220 mxs.mail.ru ESMTP ready 


2020-01-20 01:58:19,790 - LOGLEVEL:DEBUG  MESSAGE:Socket sent EHLO message. (domain: localhost)

2020-01-20 01:58:19,790 - LOGLEVEL:DEBUG  MESSAGE:Socket received: (EHLO) 250 ENHANCEDSTATUSCODES.

2020-01-22 00:19:26,959 - LOGLEVEL:DEBUG  MESSAGE:******************************NEW_SMTP_SESSION_STARTED******************************

